date,close,ret,ret_3,ret_6,ret_12,ret_22,temp,rate,port_tqqq,port_cash,port_total,deployed_p,base_p,target_p,block_buy,block_sell,forced_derisk
2021-01-20,314.96502685546875,0.023260983367307198,0.038190159842134586,0.03137740415579948,0.04674905343253166,0.042948047499082875,1.3940902797454595,0.09,356588.75029199274,199253.70578652437,555842.4560785171,0.6415284517986186,0.32709166430544867,0.32709166430544867,0,1,0
2021-01-21,317.4844970703125,0.007999206261080749,0.03144625903217868,0.03265376699635514,0.04649485706893608,0.0544780743369635,1.4047527394189194,0.09,365128.5399186674,199254.41740690215,564382.9573255696,0.6469517464682045,0.31429671269729675,0.31429671269729675,0,1,0
2021-01-22,316.5701904296875,-0.002879846572232836,0.005096323202116393,0.03521542247010534,0.058139049765433715,0.053412057312172356,1.400219689512799,0.09,361956.658078225,199255.12902982143,561211.7871080465,0.6449555522406372,0.3197363725846413,0.3197363725846413,0,1,0
2021-01-25,319.1870422363281,0.008266260961238059,0.005362608825710824,0.05210679962551512,0.041685253745875395,0.05923955804325609,1.4103204734216603,0.09,370914.9741943089,199255.84065528223,570170.8148495911,0.6505330762889975,0.30761543189400764,0.30761543189400764,0,1,0
2021-01-26,319.6539306640625,0.0014627424235746922,0.00974109479540508,0.03849433282835091,0.02996564591665085,0.0661581938616016,1.4118917670714324,0.09,372524.7878211127,199256.55228328455,571781.3401043973,0.6515161683189875,0.3057298795142812,0.3057298795142812,0,1,0
2021-01-27,310.7430725097656,-0.027876579323723893,-0.02645461315535025,-0.013404517916970171,0.015933885465114983,0.031883889071581795,1.3720552839548776,0.09,341354.2850541602,199257.26391382838,540611.5489679886,0.6314224801630587,0.35353365925414687,0.35353365925414687,0,1,0
2021-01-28,312.5816955566406,0.0059168593269838254,-0.022124661795116074,-0.015442648566824535,0.02357300100421833,0.02763216771710586,1.379693112177007,0.09,347396.8790695724,199257.97554691377,546654.8546164861,0.635495827277147,0.3443682653875916,0.3443682653875916,0,1,0
2021-01-29,306.0054626464844,-0.021038445320495813,-0.01524606751493185,-0.03337246557821316,-0.0046830738529847205,0.005112173619038929,1.3501963554096448,0.09,199267.64731967665,325446.25745963835,524713.904779315,0.37976437350842634,0.37976437350842634,0.37976437350842634,0,0,0
2021-02-01,313.6517333984375,0.02498736684575653,0.003423226174173122,-0.017341897086762814,0.02567178311333085,0.030194441841105757,1.3824894932303715,0.08,214195.15070624606,325447.2906223604,539642.4413286065,0.39692050569427956,0.0,0.0,0,0,0
2021-02-02,318.7686767578125,0.01631409239774495,0.041709105454999396,-0.0027694134854244767,0.050727780096429864,0.044431847985515915,1.4045544675822872,0.08,224667.84130639446,325448.3237883624,550116.1650947569,0.4084007261769806,0.0,0.0,0,0,0
2021-02-03,317.50408935546875,-0.003967100579661209,0.012282272172676079,0.02175757866811545,0.0315099106101826,0.05518732765940526,1.3984954815902222,0.08,221983.61923934784,325449.3569576442,547432.9761969921,0.40549917321653584,0.0,0.0,0,0,0
2021-02-04,321.2590637207031,0.01182653858996563,0.007812520942208856,0.027760320861430987,0.01998328807509986,0.05893661288299379,1.414542277486034,0.08,229848.76260345386,325450.39013020595,555299.1527336598,0.41391880659630154,0.0,0.0,0,0,0
2021-02-05,322.3486022949219,0.0033914640776204763,0.015258111948376563,0.05340799967129373,0.015320764539668685,0.07745344962074929,1.418845583445472,0.08,232176.47504630405,325451.4233060476,557627.8983523517,0.4163645250395942,0.0,0.0,0,0,0
2021-02-08,324.5082092285156,0.006699600737272382,0.010113786270127711,0.03461315425375622,0.025075067200906354,0.05905118799447484,1.426860200752406,0.08,236831.8673391098,325452.45648516924,562284.323824279,0.42119592758400065,0.0,0.0,0,0,0
2021-02-09,324.4401550292969,-0.00020971487710752523,0.006488480854219381,0.017791830518508966,0.016457788374376836,0.045387469948658055,1.4260643898829053,0.08,236671.7965704589,325453.48966757074,562125.2862380296,0.4210303332098126,0.0,0.0,0,0,0
2021-02-10,323.7008361816406,-0.0022787526025854765,-0.002487989591371087,0.019517061461322482,0.012660271404049128,0.058297601211965366,1.4223194689229295,0.08,235042.85406903137,325454.5228532522,560497.3769222836,0.4193469296139481,0.0,0.0,0,0,0
2021-02-11,325.4810485839844,0.0054995607158234705,0.003208275974943664,0.013141994546033375,0.047428172590253226,0.06581293276253408,1.4296437777450577,0.08,238909.57747631182,325455.55604221363,564365.1335185254,0.4233244814165501,0.0,0.0,0,0,0
2021-02-12,327.3002319335937,0.005589214356791938,0.011119513296324435,0.01536110162544313,0.047087006648749874,0.06458054035360639,1.437133931634038,0.08,242904.16723531843,325456.589234455,568360.7564697735,0.4273767399847504,0.0,0.0,0,0,0
2021-02-16,326.4149780273437,-0.0027047151815938753,0.0028693819422740408,0.005875872303388707,0.06669657202962287,0.06740883884390536,1.4312523178720558,0.08,240921.93941661768,325457.6224299764,566379.5618465941,0.42537188070686816,0.0,0.0,0,0,0
2021-02-17,324.8487243652344,-0.004798351079275842,-0.007490088087859115,0.0012593056981513584,0.03569880148748661,0.07076888008907645,1.4238888472666706,0.08,237442.74994385082,325458.65562877775,562901.4055726286,0.4218194298205828,0.0,0.0,0,0,0
2021-02-18,323.4284362792969,-0.004372152264758955,-0.009149524222496375,-0.0008415174503624279,0.014617996877480666,0.0507569778785979,1.417169908552584,0.08,234317.38321952382,325459.6888308591,559777.0720503828,0.4185905334801459,0.0,0.0,0,0,0
2021-02-19,322.01788330078125,-0.00436125219768102,-0.00871433640376662,-0.010640144175120936,0.014216490737097187,0.022392506608515994,1.4104981165269546,0.08,231240.81635112013,325460.7220362204,556701.5383873405,0.41537664332845425,0.0,0.0,0,0,0
2021-02-22,313.671142578125,-0.025920115482716777,-0.0301683235197846,-0.041640940108572555,-0.023619321598891685,-0.012011151811746501,1.3725035640176344,0.08,213249.47656277314,325461.7552448618,538711.2318076349,0.39585117957763516,0.0,0.0,0,0,0
2021-02-23,312.7372741699219,-0.0029772213042216222,-0.028820166866915353,-0.04190280709568428,-0.029816565223405034,-0.012107634817299484,1.3679409795540864,0.08,211334.91965751702,325462.7884567832,536797.7081143003,0.393695644491309,0.0,0.0,0,0,0
2021-02-24,315.31524658203125,0.008243252803657342,0.005241489511572661,-0.02934743795541095,-0.02832890628049034,-0.012130178052247365,1.3787371658620342,0.08,216551.05295196557,325463.8216719847,542014.8746239502,0.3995297234272558,0.0,0.0,0,0,0
2021-02-25,304.3225402832031,-0.03486259043286799,-0.026906718775539074,-0.05907302467243425,-0.062007166604507225,-0.04796246474745136,1.3302076184449427,0.08,193893.39245017924,325464.85489046614,519358.2473406454,0.3733326532177031,0.0,0.0,0,0,0
2021-02-26,305.596923828125,0.004187608133580767,-0.030820973166541643,-0.05099393643712091,-0.05592791346191284,-0.016560783286581282,1.3353130306169583,0.08,196320.05909428003,325465.88811222767,521785.94720650767,0.3762463518715315,0.0,0.0,0,0,0
2021-03-01,314.7899475097656,0.030082186582516046,0.034395767125305676,0.003566808608675087,-0.032847077028695604,0.007064559392041758,1.3740462757617529,0.07,214027.50152722732,325466.7921841391,539494.2937113664,0.39671874943265606,0.0,0.0,0,0,0
2021-03-02,309.74102783203125,-0.016039011784446333,0.01356068625297091,-0.009580713862277435,-0.053648614905732916,0.01220751143865173,1.351537305745609,0.07,203719.83556780897,325467.6962585618,529187.5318263707,0.38496718708529687,0.0,0.0,0,0,0
2021-03-03,300.7523498535156,-0.02901997853313143,-0.04459353853990056,-0.0461851968351521,-0.07861964033917068,-0.04112645387020886,1.3118589131520846,0.07,185975.5124935312,325468.60033549584,511444.112829027,0.36362822022687313,0.42576930421749853,0.42576930421749853,1,0,0
2021-03-04,295.8299255371094,-0.016367035266071084,-0.044912042787130235,-0.027906624130406232,-0.08933019172178902,-0.07196049327685683,1.289938496081098,0.07,176835.83897385982,325469.50441494124,502305.3433888011,0.3520484926177323,0.45207380470268244,0.45207380470268244,1,0,0
2021-03-05,300.2854309082031,0.015061036719000942,-0.001552503066193589,-0.017380714613832948,-0.07155525852126554,-0.054231296618003855,1.3089105248149084,0.07,184817.3977090383,325470.40849689796,510287.80620593624,0.3621826652750777,0.4293073702221099,0.4293073702221099,1,0,0
2021-03-08,291.78302001953125,-0.02831443025043412,-0.013679838205112427,-0.07308660162828307,-0.0938918763496408,-0.09175163296497002,1.270521762505491,0.07,169110.68210538864,325471.312581366,494581.99468675465,0.34192648321638863,0.4753738849934109,0.4753738849934109,1,0,0
2021-03-09,303.2913513183594,0.03944140168971377,0.010010210622156901,-0.02082280335548392,-0.03309131714971314,-0.05912000499113912,1.3201732175361627,0.07,189111.93868862983,325472.2166683454,514584.1553569752,0.3675043949952945,0.41579213895660483,0.41579213895660483,1,0,0
2021-03-10,302.425537109375,-0.002854727657814249,0.036474079571632956,0.005563338928770811,-0.03297252330383915,-0.06804965634502702,1.3159462502726678,0.07,187483.793300848,325473.12075783615,512956.91405868414,0.3654961813798637,0.42086449967279876,0.42086449967279876,1,0,0
2021-03-11,309.3908996582031,0.023031661331923248,0.02011118455349936,0.04584044057230652,-0.018788647196883557,-0.04638530446311373,1.3457860557048558,0.07,200428.8360869597,325474.0248498383,525902.8609367979,0.381113796813984,0.38505673315417316,0.38505673315417316,1,0,0
2021-03-12,306.8810729980469,-0.00811215411613253,0.014732670829515682,0.021964575736809655,0.00840730598680861,-0.05196082710813743,1.334404172221457,0.07,195542.18336324388,325474.9289443518,521017.1123075957,0.3753085623180081,0.39871499333425164,0.39871499333425164,1,0,0
2021-03-15,310.15936279296875,0.010682606662232086,0.0024837935944934664,0.06297947965651818,0.0149295971559249,-0.04707397207202413,1.3472511976285961,0.07,201799.6745834473,325475.83304137667,527275.507624824,0.3827215026400112,0.3832985628456847,0.3832985628456847,1,0,0
2021-03-16,311.8617553710937,0.005488767331719435,0.016230008336416857,0.0282579902640816,-0.009302050976647158,-0.04716915863851978,1.3541744021063384,0.07,198966.3043158562,331623.6411019359,530589.9454177921,0.37499071747239393,0.37499071747239393,0.37499071747239393,0,0,0
2021-03-17,313.1459045410156,0.004117687237391143,0.009629055596301228,0.035447956988379214,0.010992656455026673,-0.04065093325838898,1.3592771480228372,0.07,201414.95543699953,331624.5622787167,533039.5177157163,0.37786120680159274,0.0,0.0,0,0,0
2021-03-18,303.5540771484375,-0.03063053756566625,-0.026638977301883804,-0.01886552744833092,0.009315728692681713,-0.06555250373356813,1.3171830953238444,0.07,182898.26348667662,331625.4834580564,514523.746944733,0.35547098568867885,0.0,0.0,0,0,0
2021-03-19,304.6241455078125,0.003525132554394128,-0.02721338171640353,-0.007354404324077524,0.029727283183864195,-0.0581404992950153,1.321366220751783,0.07,184824.05059445454,331626.4046399549,516450.4552344094,0.35787372965053454,0.0,0.0,0,0,0
2021-03-22,310.3367614746094,0.018752997919038394,0.02234423727688939,0.0005719597823621303,0.03347258818387,-0.03627476122268991,1.3447405329136588,0.07,195213.15681794737,331627.3258244122,526840.4826423596,0.3705356047030765,0.0,0.0,0,0,0
2021-03-23,308.9828491210937,-0.0043627198630364905,0.014308463979489039,-0.00923135395866126,0.05894732702544214,-0.01494652462606949,1.3384077529809035,0.07,192649.38398469696,331628.2470114284,524277.6309961254,0.3674568064608515,0.0,0.0,0,0,0
2021-03-24,303.77178955078125,-0.016865206548309697,-0.021154348239743603,-0.029935294871488716,0.0015840815451331203,-0.028667783982376682,1.3153771956681004,0.07,182893.822356533,331629.16820100346,514522.9905575365,0.35546287670906496,0.0,0.0,0,0,0
2021-03-25,303.24591064453125,-0.0017311643949152744,-0.018567174498135608,-0.001015194744874215,0.0027126463690780867,-0.03827704517409081,1.312642979483333,0.07,181935.66159264708,331630.0893931374,513565.75098578446,0.3542597247644014,0.0,0.0,0,0,0
2021-03-26,307.7945556640625,0.014999856089941588,0.013242724478234491,0.010407612800898969,-0.005159634610792274,0.011408998418678706,1.3318686585848396,0.07,190114.0116403152,331631.01058783015,521745.0222281454,0.3643810741661151,0.0,0.0,0,0,0
2021-03-29,307.7069091796875,-0.0002847564479686593,0.014710828336232717,-0.008474188756838696,0.0026910626112346403,0.006904471828876213,1.3300994346482953,0.07,189942.93469882576,331631.9317850818,521574.86648390756,0.3641719471248452,0.0,0.0,0,0,0
2021-03-30,306.158203125,-0.00503305583490532,-0.00531637908777205,-0.009141756586582228,-0.012900334950196268,-0.027420648127583047,1.3229443008350414,0.07,187066.41741674062,331632.8529848923,518699.27040163294,0.3606452295024314,0.0,0.0,0,0,0
2021-03-31,310.8433837890625,0.01530313614412493,0.010193058770556984,0.023279298741791576,-0.0032654583785671765,0.003558960092393759,1.3427219416172953,0.07,195645.5973576806,331633.7741872617,527279.3715449423,0.37104731934502566,0.0,0.0,0,0,0
2021-04-01,316.1420288085937,0.01704602798664312,0.03261002181776407,0.04252693181138878,0.009567821977328972,0.05117060253252803,1.365134657003447,0.07,205641.15355728182,331634.69539219,537275.8489494718,0.3827478081498902,0.0,0.0,0,0,0
2021-04-05,322.45379638671875,0.019964974609391506,0.03735132611197867,0.04762670571293626,0.062261457384541474,0.08999721985958997,1.3904518190480695,0.07,217948.06835403835,331635.61659967725,549583.6849537157,0.3965693930168129,0.0,0.0,0,0,0
2021-04-06,322.22979736328125,-0.0006946701386292276,0.019256435399082505,0.047197146863910744,0.05779466964485014,0.07307835877587587,1.3890022422292725,0.07,217483.93705939365,331636.53780972335,549120.474869117,0.3960586920588437,0.0,0.0,0,0,0
2021-04-07,323.0089416503906,0.0024179771501111613,0.0017216273149598393,0.05503931742933155,0.04083364186559013,0.1070176106504388,1.3918761457151394,0.07,219051.55383943583,331637.4590223284,550689.0128617642,0.3977772367403722,0.0,0.0,0,0,0
2021-04-08,326.37908935546875,0.010433604988947298,0.0128768103575152,0.049979206174607604,0.056301637077458944,0.07612395782718706,1.4059088730091833,0.07,225897.7367662037,331638.3802374923,557536.117003696,0.4051714855357185,0.0,0.0,0,0,0
2021-04-09,328.3564147949219,0.006058370477587616,0.01655518611097495,0.03863575505085182,0.08093123222698351,0.08574301606073931,1.4139340367330664,0.07,229992.95718381673,331639.3014552152,561632.2586390319,0.4095080965276891,0.0,0.0,0,0,0
2021-04-12,327.92791748046875,-0.0013049762244503604,0.004745488223705241,0.016976451060867204,0.081392711227259,0.0599145541861259,1.4106147814299852,0.07,229082.09660922177,331640.222675497,560722.3192847187,0.408548204218888,0.0,0.0,0,0,0
2021-04-13,331.755859375,0.011673119885437178,0.010352910517071212,0.02956294572900431,0.07784836758805347,0.08105676291451003,1.4265842987878405,0.07,237093.58477144045,331641.1438983378,568734.7286697782,0.41687903484631933,0.0,0.0,0,0,0
2021-04-14,327.7720642089844,-0.0120082134299625,-0.0004752668595032761,0.014746101251119859,0.06520865937910969,0.05678597369240834,1.4089629479734636,0.07,228541.94376395768,331642.0651237375,560184.0088876951,0.40797655794879256,0.0,0.0,0,0,0
2021-04-15,332.7395935058594,0.01515543830394206,0.002965235136201283,0.019488087190117742,0.08682240132565244,0.06694581100501562,1.4298185147034688,0.07,238922.00013707823,331642.9863516962,570564.9864887744,0.41874634054814874,0.0,0.0,0,0,0
2021-04-16,333.12921142578125,0.0011709394599443979,0.016344123864629356,0.014535414615975295,0.07169471444128228,0.06381468381026911,1.4309944518433593,0.07,239750.3483148132,331643.90758221387,571394.2558970271,0.41958830674353054,0.282806657787969,0.282806657787969,0,1,0
2021-04-19,330.0804443359375,-0.009151905582807096,-0.007991682450243287,0.0065640244112394885,0.0440890936895415,0.08738596903947582,1.416417956358911,0.07,233157.19013546186,331644.8288152905,564802.0189507523,0.4128122462603872,0.30029845236930686,0.30029845236930686,0,1,0
2021-04-20,327.6746520996094,-0.007288502780490869,-0.01637370467401089,-0.012301839319670993,0.01619101952401647,0.0756686787036247,1.4056049373767205,0.07,228048.6822594582,331645.75005092606,559694.4323103842,0.40745211868213027,0.3132740751479354,0.3132740751479354,0,1,0
2021-04-21,330.4798583984375,0.008560949957079345,0.0012100506690226887,0.008261211021713732,0.02560303579204737,0.06490722152321027,1.417144779789494,0.07,233894.94813473357,331646.6712891206,565541.6194238542,0.41357689708675055,0.2994262642526072,0.2994262642526072,0,1,0
2021-04-22,326.49609375,-0.01205448546166632,-0.003596733351382664,-0.01876392193088805,0.010795837668740704,0.05668031309415067,1.399574475772899,0.07,225426.210669929,331647.59252987424,557073.8031998032,0.4046613022818385,0.3205106290725213,0.3205106290725213,0,1,0
2021-04-23,330.6064758300781,0.01258937597956522,0.0003831320681817463,-0.007572844137282098,0.012952381486686537,0.0883383092254224,1.4167009284999659,0.07,233929.460865671,331648.51377318683,565577.9746388579,0.4136113345203081,0.29995888580004104,0.29995888580004104,0,1,0
2021-04-26,332.7590637207031,0.006511027605313302,0.019182373359415195,0.008115050227087917,0.013408140445591687,0.09732415851360843,1.4244365584716652,0.07,238487.94059428273,331649.4350190584,570137.3756133411,0.4182990815813868,0.2906761298340018,0.2906761298340018,0,1,0
2021-04-27,331.31744384765625,-0.0043323233841554565,0.0021504963440084346,0.011117099613001225,0.010336193372098013,0.07642399045312365,1.4177717492244397,0.07,235377.57809178313,331650.356267489,567027.9343592721,0.4151075526071817,0.29867390093067236,0.29867390093067236,0,1,0
2021-04-28,330.19732666015625,-0.003380797504930144,-0.007698474180997894,-0.0008549136387628886,-0.004697830259214997,0.07309038831927994,1.412486700929651,0.07,232979.6538820805,331651.2775184787,564630.9314005591,0.41262290272369195,0.305015958884419,0.305015958884419,0,1,0
2021-04-29,331.3857727050781,0.0035991994754853707,0.00020623380594853025,0.014976224979960095,0.011025065558331715,0.08240043651477169,1.4170770747831356,0.07,235484.5278885252,331652.19877202733,567136.7266605526,0.41521650215657674,0.29950751026023736,0.29950751026023736,0,1,0
2021-04-30,329.21356201171875,-0.006554930453494645,-0.0029793234802594215,-0.004213207907867167,-0.010596970011861662,0.059097858216349275,1.4072981907254907,0.07,230843.23885440064,331653.120028135,562496.3588825357,0.41039063668429343,0.31124217112941127,0.31124217112941127,0,1,0
2021-05-03,327.4603271484375,-0.0053255244181551475,-0.011845546429460452,-0.01592364310987804,-0.0170170735045454,0.03580130861593345,1.3983423096871588,0.07,227144.7887990412,331654.04128680174,558798.830085843,0.40648758832252224,0.32198922837540955,0.32198922837540955,0,1,0
2021-05-04,321.5674743652344,-0.017995623575285502,-0.02322531186067056,-0.02942787849982642,-0.02579059170812037,-0.0027486791329986993,1.3727002729824833,0.07,192792.72391943482,353734.3850221336,546527.1089415684,0.3527596724210201,0.3527596724210201,0.3527596724210201,0,0,0
